Tip Matrice,Tip alocare,Nr threads,Timp executie
N=10 M=10 n=3 m=3,static,1,1.29417
,,4,1.6023
,dinamic,1,1.36991
,,4,1.71022
,,,
N=1000 M=1000 n=5 m=5,static,1,175.6237
,,2,94.39429
,,4,55.211
,,8,48.20551
,,16,44.02512
,dinamic,1,175.4795
,,2,97.04211
,,4,59.73387
,,8,52.0899
,,16,44.94477
,,,
N=10 M=10000 n=5 m=5,static,1,18.70991
,,2,10.83072
,,4,7.82697
,,8,6.30187
,,16,6.22725
,dinamic,1,18.64684
,,2,11.43318
,,4,8.29695
,,8,6.87958
,,16,6.77107
,,,
N=10000 M=10 n=5 m=5,static,1,18.65497
,,2,10.14053
,,4,6.99112
,,8,6.34639
,,16,5.95449
,dinamic,1,20.28226
,,2,12.27147
,,4,7.35562
,,8,6.73294
,,16,6.17766
