Tip Matrice,Nr threads,Timp executie
N=10 M=10 n=3 m=3,1,2.37015
N=10 M=10 n=3 m=3,4,4.16893
,,
N=1000 M=1000 n=5 m=5,1,151.29512
N=1000 M=1000 n=5 m=5,2,121.25538
N=1000 M=1000 n=5 m=5,4,94.59915
N=1000 M=1000 n=5 m=5,8,101.50008
N=1000 M=1000 n=5 m=5,16,143.61613
,,
N=10 M=10000 n=5 m=5,1,46.12359
N=10 M=10000 n=5 m=5,2,78.25635
N=10 M=10000 n=5 m=5,4,101.43155
N=10 M=10000 n=5 m=5,8,83.5197
N=10 M=10000 n=5 m=5,16,77.12054
,,
N=10000 M=10 n=5 m=5,1,40.92284
N=10000 M=10 n=5 m=5,1,44.24947
N=10000 M=10 n=5 m=5,4,47.0306
N=10000 M=10 n=5 m=5,8,52.8775
N=10000 M=10 n=5 m=5,16,99.46527
